title,release_date,critic_score,audience_score,release_year,movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
The Landlord,"Released May 20, 1970",0.93,0.79,1970,tt0065963,The Landlord,1970,PG,112 min,"Comedy, Drama, Romance",6.9,Hal Ashby makes his directing debut with this acclaimed social satire starring Beau Bridges as a wealthy young man Elgar who leaves his family's estate in Long Island to pursue love in a Brooklyn ghetto.,Hal Ashby,/name/nm0000797/,"Beau Bridges, 
Lee Grant, 
Diana Sands, 
Pearl Bailey","/name/nm0000977/,/name/nm0335519/,/name/nm0762305/,/name/nm0047440/",2784.0,957758.0
Too Late the Hero,1970,0.57,0.7,1970,tt0066471,Too Late the Hero,1970,PG,145 min,"Action, Drama, War",6.6,"A reluctant hero, American Lieutenant Sam Lawson, is seconded to a motley British unit tasked with destroying a Japanese radio on a Philippine island.",Robert Aldrich,/name/nm0000736/,"Michael Caine, 
Cliff Robertson, 
Ian Bannen, 
Harry Andrews","/name/nm0000323/,/name/nm0731772/,/name/nm0000846/,/name/nm0028674/",3722.0,314525.0
Beneath the Planet of the Apes,"Released May 26, 1970",0.37,0.38,1970,tt0065462,Beneath the Planet of the Apes,1970,G,95 min,"Action, Adventure, Sci-Fi",6.0,The sole survivor of an interplanetary rescue mission searches for the only survivor of the previous expedition. He discovers a planet ruled by apes and an underground city run by telepathic humans.,Ted Post,/name/nm0692872/,"James Franciscus, 
Kim Hunter, 
Maurice Evans, 
Linda Harrison","/name/nm0002082/,/name/nm0001375/,/name/nm0263052/,/name/nm0365709/",48091.0,18999718.0
Watermelon Man,1970,0.88,0.7,1970,tt0066550,Watermelon Man,1970,R,100 min,"Comedy, Drama, Fantasy",6.7,"An extremely bigoted white man finds out the hard (and somewhat humorous) way what it's like being a black man, firsthand!",Melvin Van Peebles,/name/nm0887708/,"Godfrey Cambridge, 
Estelle Parsons, 
Howard Caine, 
D'Urville Martin","/name/nm0131387/,/name/nm0663820/,/name/nm0128995/,/name/nm0552121/",2588.0,1500000.0
Two Mules for Sister Sara,1970,0.71,0.73,1970,tt0065134,Two Mules for Sister Sara,1970,GP,116 min,"Adventure, Romance, War",7.0,"Nun Sara (Shirley MacLaine) is on the run in Mexico and is saved from cowboys by Hogan (Clint Eastwood), who is preparing for a future mission to capture a French fort. The pair become good friends, but Sara never does tell him the true reason behind her being outlawed.",Don Siegel,/name/nm0796923/,"Clint Eastwood, 
Shirley MacLaine, 
Manolo Fábregas, 
Alberto Morin","/name/nm0000142/,/name/nm0000511/,/name/nm0299578/,/name/nm0605494/",28721.0,11500000.0
Crimes of the Future,1970,0.67,0.29,1970,tt0065591,Crimes of the Future,1970,Not Rated,63 min,"Comedy, Sci-Fi",4.8,"Crimes of the Future details the wanderings of Tripod (Mlodzik), sometime director of a dermatological clinic called the House of Skin, who is searching for his mentor, the mad ...                See full summary »",David Cronenberg,/name/nm0000343/,"Ronald Mlodzik, 
Jon Lidolt, 
Tania Zolty, 
Paul Mulholland","/name/nm0594865/,/name/nm0509232/,/name/nm0957764/,/name/nm0611858/",2489.0,
On a Clear Day You Can See Forever,"Released Jun 17, 1970",1.0,0.75,1970,tt0066181,On a Clear Day You Can See Forever,1970,G,129 min,"Comedy, Drama, Fantasy",6.3,A troubled young woman who visits a psychotherapist to help her quit smoking undergoes hypnosis and finds herself reliving a tragic Victorian romance from a past life.,Vincente Minnelli,/name/nm0591486/,"Barbra Streisand, 
Yves Montand, 
Bob Newhart, 
Larry Blyden","/name/nm0000659/,/name/nm0598971/,/name/nm0627878/,/name/nm0089980/",4032.0,14000000.0
Kelly's Heroes,"Released Jun 23, 1970",0.79,0.88,1970,tt0065938,Kelly's Heroes,1970,GP,144 min,"Adventure, Comedy, War",7.6,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,Brian G. Hutton,/name/nm0404606/,"Clint Eastwood, 
Telly Savalas, 
Don Rickles, 
Carroll O'Connor","/name/nm0000142/,/name/nm0001699/,/name/nm0725543/,/name/nm0005279/",50773.0,1378435.0
Darling Lili,"Released Jun 24, 1970",0.4,0.69,1970,tt0065611,Darling Lili,1970,G,136 min,"Comedy, Drama, Musical",6.1,"Set during World War I, this movie is a cute spin on the Mata Hari legend.",Blake Edwards,/name/nm0001175/,"Julie Andrews, 
Rock Hudson, 
Jeremy Kemp, 
Lance Percival","/name/nm0000267/,/name/nm0001369/,/name/nm0447305/,/name/nm0672886/",2266.0,2594452.0
And Soon the Darkness,1970,0.29,0.63,1970,tt0065398,And Soon the Darkness,1970,GP,94 min,"Horror, Mystery, Thriller",6.6,"Two young English women go on a cycling tour of the French countryside. When one of them goes missing, the other begins to search for her. But who can she trust?",Robert Fuest,/name/nm0297523/,"Pamela Franklin, 
Michele Dotrice, 
Sandor Elès, 
John Nettleton","/name/nm0291512/,/name/nm0234540/,/name/nm0255973/,/name/nm0626726/",3685.0,
